Year,EPA,Section,System,Plant pop,No cobs,Wt of stalks,Yield of 10 m by 10 m)
2020,Emsizini,Emsizini,DBF,487,579,94.5,88.825
2020,Emsizini,Emsizini,CR,226,299,-,45.2925
2020,Emsizini,Enyezini,DBF,397,407,-,66.895
2020,Emsizini,Enyezini,CR,456,339,56.5,49.82175
2020,Emsizini,Elamleni,DBF,483,627,72.5,90.1
2020,Emsizini,Elamleni,CR,266,310,57.9,59.292
2020,Emsizini,Matuli,DBF,388,403,72.3,79.815
2020,Emsizini,Matuli,CR,213,267,43,38.7045
2020,Emsizini,Lusangazi,DBF,392,431,70.6,82.45
2020,Emsizini,Lusangazi,CR,377,395,72.5,74.9385
2020,Emsizini,Lusangazi,DBF,423,400,61.5,64.855
2020,Emsizini,Lusangazi,CR,217,234,66,48.5865
2020,Emsizini,Matuli,DBF,437,465,67.5,85.85
2020,Emsizini,Matuli,CR,263,284,72,44.05725
2020,Emsizini,Matuli,DBF,372,415,79.5,77.775
2020,Emsizini,Matuli,CR,403,382,-,74.115
2020,Emsizini,Matuli,DBF,440,513,65,70.72
2020,Emsizini,Matuli,CR,303,157,54.5,30.05775
2020,Chinkangawa,Katowo,DBF,435,500,86,72.675
2020,Chinkangawa,Katowo,CR,211,153,36,38.78685
2020,Emsizini,Chimbongondo,DBF,,,,86
2020,Emsizini,Chimbongondo,CR,,,,50
2020,Emsizini,Chimbongondo,DBF,,,,60
2020,Emsizini,Chimbongondo,CR,,,,45
2020,Emsizini,Chimbongondo,DBF,,,,97
2020,Emsizini,Chimbongondo,CR,,,,58
2020,Emsizini,Chimbongondo,DBF,,,,76
2020,Emsizini,Chimbongondo,CR,,,,55
2020,Bengu,Embombeni,DBF,,,,82
2020,Bengu,Embombeni,CR,,,,55
2020,Manyamula,Tchemba,DBF,399,531,,92.65
2020,Manyamula,Tchemba,CR,,,,.
2020,Manyamula,Zuba Chulu,DBF,512,568,,88
2020,Manyamula,Zuba Chulu,CR,347,329,,39
2020,Manyamula,Tchemba,DBF,480,491,,94
2020,Manyamula,Tchemba,CR,424,386,,47
2020,,,DBF,,,,50
2020,,,CR,,,,20
2020,,,DBF,,,,43.5
2020,,,CR,,,,19.5
2020,,,DBF,,,,60
2020,,,CR,,,,32
2020,,,DBF,,,,45
2020,,,CR,,,,14.5
2020,,,DBF,,,,42.5
2020,,,CR,,,,16.5
2020,,,DBF,,,,61.25
2020,,,CR,,,,21
2020,,,DBF,,,,45.5
2020,,,CR,,,,16.5
2020,,,DBF,,,,60
2020,,,CR,,,,23
2020,,,DBF,,,,50
2020,,,CR,,,,32
2020,,,DBF,,,,60
2020,,,CR,,,,20
2020,,,DBF,,,,60
2020,,,CR,,,,38
2020,,,DBF,,,,60
2020,,,CR,,,,21.5
2020,,,DBF,,,,55
2020,,,CR,,,,38
2020,,,DBF,,,,54
2020,,,CR,,,,48
2020,,,DBF,,,,53
2020,,,CR,,,,45
2020,,,DBF,,,,90
2020,,,CR,,,,44.5
2020,,,DBF,,,,53.33
2020,,,CR,,,,15.33333333
2020,,,DBF,,,,50
2020,,,CR,,,,20.5
2020,,,DBF,,,, 62.50 
2020,,,CR,,,,47.5
2020,,,DBF,,,, 60.00 
2020,,,CR,,,,9
2020,,,DBF,,,, 43.33 
2020,,,CR,,,, 6.67 
2020,,,DBF,,,, 62.50 
2020,,,CR,,,,7.5
2020,,,DBF,,,, 60.00 
2020,,,CR,,,,8.5
2020,,,DBF,,,, 82.50 
2020,,,CR,,,,10.5
2020,,,DBF,,,, 50.00 
2020,,,CR,,,,33.6
2020,,,DBF,,,, 38.00 
2020,,,CR,,,,11
2020,,,DBF,,,, 85.00 
2020,,,CR,,,,12
2020,,,DBF,,,, 90.00 
2020,,,CR,,,,9
2020,,,DBF,,,, 50.00 
2020,,,CR,,,,9
2020,Chitheka,Chakupompha,DBF,320,401,74.5, 92.31 
2020,Chitheka,Chakupompha,CR,281,208,27.3, 31.28 
2020,Chitheka,Chakupompha,DBF,314,396,77, 89.91 
2020,Chitheka,Chakupompha,CR,287,197,47.8, 49.09 
2020,Chitheka,,DBF,318,384,74.5, 88.91 
